"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall døgnopphold";"Antall kontakter i poliklinikk";"Antall dagbehandlinger";"FLAGG"
"2019";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"231648";"57399";"375414";"83632";"625666";"64469";""
"2019";"januar-august";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"163359";"41342";"284103";"60804";"370247";"52421";""
"2019";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Landet";"813380";"0";"0";"0";"1652723";"0";""
"2019";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"500967";"0";"0";"0";"1056973";"0";""
"2019";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"163722";"0";"0";"0";"312196";"0";""
"2019";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"100073";"0";"0";"0";"197431";"0";""
"2019";"januar-august";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"48929";"0";"0";"0";"86123";"0";""
"2019";"januar-august";"Somatikk (SOM)";"Alle aktører";"Landet";"2052644";"413673";"2566840";"605325";"5599667";"457089";""
"2019";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1160369";"227197";"1392441";"332473";"3204020";"264586";""
"2019";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Vest";"421842";"87892";"514882";"128416";"1116180";"75613";""
"2019";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"284032";"57399";"375414";"83632";"823097";"64469";""
"2019";"januar-august";"Somatikk (SOM)";"Alle aktører";"Region Nord";"188582";"41342";"284103";"60804";"456370";"52421";""
"2019";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"2005224";"582194";"3887747";"913154";"6045770";"702414";""
"2019";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"1098225";"320309";"2111010";"502001";"3286858";"405883";""
"2019";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"417532";"123122";"776932";"192551";"1230989";"116526";""
"2019";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"289678";"81107";"567679";"126490";"958872";"100016";""
"2019";"hele året";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"203619";"58013";"432126";"92112";"569051";"79989";""
"2019";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Landet";"1075366";"0";"0";"0";"2569250";"0";""
"2019";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"659461";"0";"0";"0";"1645003";"0";""
"2019";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"217710";"0";"0";"0";"486056";"0";""
"2019";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Midt-Norge";"132993";"0";"0";"0";"306514";"0";""
"2019";"hele året";"Somatikk (SOM)";"Avtalespesialister";"Region Nord";"65958";"0";"0";"0";"131677";"0";""
"2019";"hele året";"Somatikk (SOM)";"Alle aktører";"Landet";"2516766";"582194";"3887747";"913154";"8615020";"702414";""
"2019";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Sør-Øst";"1422662";"320309";"2111010";"502001";"4931861";"405883";""
"2019";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Vest";"518972";"123122";"776932";"192551";"1717045";"116526";""
"2019";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Midt-Norge";"348356";"81107";"567679";"126490";"1265386";"100016";""
"2019";"hele året";"Somatikk (SOM)";"Alle aktører";"Region Nord";"231880";"58013";"432126";"92112";"700728";"79989";""
"2020";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Landet";"1025427";"208925";"1130951";"272333";"1850843";"218884";""
"2020";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"561731";"115115";"616554";"150738";"1012414";"123966";""
"2020";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Vest";"212210";"44408";"228944";"57553";"380020";"36367";""
"2020";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"151428";"29163";"163495";"37596";"289246";"33281";""
"2020";"januar-april";"Somatikk (SOM)";"Offentlige helseforetak og private institusjoner";"Region Nord";"100350";"20271";"121958";"26446";"169163";"25270";""
"2020";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Landet";"493405";"0";"0";"0";"814831";"0";""
"2020";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Sør-Øst";"313253";"0";"0";"0";"531525";"0";""
"2020";"januar-april";"Somatikk (SOM)";"Avtalespesialister";"Region Vest";"94933";"0";"0";"0";"147437";"0";""
