"År";"Periode";"Tjenesteområde";"Aktører";"Bostedsregion";"Antall pasienter";"Antall pasienter i døgnbehandling";"Antall oppholdsdøgn";"Antall kontakter i poliklinikk";"FLAGG"
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"9235";"1461";"33661";"52301";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"34994";"0";"0";"235647";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"21776";"0";"0";"157025";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"8432";"0";"0";"48687";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"2852";"0";"0";"16553";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"1965";"0";"0";"13382";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"131290";"12841";"330886";"875608";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"75011";"7004";"185936";"529077";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"27339";"2753";"74050";"171937";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"18096";"1646";"37239";"108911";""
"2020";"januar-april";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"11064";"1461";"33661";"65683";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"124995";"19788";"641279";"1197214";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"69803";"10776";"362381";"700098";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"24540";"4255";"143192";"228224";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"19314";"2594";"72866";"169929";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"11952";"2221";"62840";"98963";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"43590";"0";"0";"428826";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"26753";"0";"0";"284567";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"10679";"0";"0";"89242";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"3804";"0";"0";"30847";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2465";"0";"0";"24170";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"163770";"19788";"641279";"1626040";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"93514";"10776";"362381";"984665";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"34171";"4255";"143192";"317466";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"22643";"2594";"72866";"200776";""
"2020";"januar-august";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Nord";"14170";"2221";"62840";"123133";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Landet";"153726";"26106";"985086";"1872092";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Sør-Øst";"86497";"14219";"554218";"1094767";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Vest";"30056";"5562";"219402";"355730";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Midt-Norge";"23631";"3562";"112924";"266494";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Offentlige helseforetak og private institusjoner";"Region Nord";"14599";"2869";"98542";"155101";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Landet";"52841";"0";"0";"680031";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Sør-Øst";"32255";"0";"0";"451946";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Vest";"12994";"0";"0";"141319";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Midt-Norge";"4811";"0";"0";"49060";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Avtalespesialister";"Region Nord";"2976";"0";"0";"37706";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Landet";"198884";"26106";"985086";"2552123";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Sør-Øst";"113907";"14219";"554218";"1546713";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Vest";"41384";"5562";"219402";"497049";""
"2020";"hele året";"PHV-Psykisk helsevern for voksne";"Alle aktører";"Region Midt-Norge";"27663";"3562";"112924";"315554";""
